codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida
3502700147,0229,2024-06-24 21:02:00,0.95,GUAYABETAL RIO NEGRO 2,CUNDINAMARCA,GUAYABETAL,META,4.21602,-73.81577,nivel_inst_rio,M
24035340,0258,2024-06-24 21:02:00,760.6,AEROPUERTO A LLERAS C,BOYACÁ,SOGAMOSO,SOGAMOSO,5.676944444,-72.96791667,pres_atmosferica,hPA
24035340,0111,2024-06-24 21:02:00,0.7,AEROPUERTO A LLERAS C,BOYACÁ,SOGAMOSO,SOGAMOSO,5.676944444,-72.96791667,vel_viento,m/s
24035340,0071,2024-06-24 21:02:00,13.5,AEROPUERTO A LLERAS C,BOYACÁ,SOGAMOSO,SOGAMOSO,5.676944444,-72.96791667,temperatura,°C
24035340,0257,2024-06-24 21:02:00,0.1,AEROPUERTO A LLERAS C,BOYACÁ,SOGAMOSO,SOGAMOSO,5.676944444,-72.96791667,precipitacion,mm
24035340,0028,2024-06-24 21:02:00,99.0,AEROPUERTO A LLERAS C,BOYACÁ,SOGAMOSO,SOGAMOSO,5.676944444,-72.96791667,humedad_aire,%
24035340,0255,2024-06-24 21:00:00,760.8,AEROPUERTO A LLERAS C,BOYACÁ,SOGAMOSO,SOGAMOSO,5.676944444,-72.96791667,pres_atmosferica,hPa
24035340,0111,2024-06-24 21:00:00,0.8,AEROPUERTO A LLERAS C,BOYACÁ,SOGAMOSO,SOGAMOSO,5.676944444,-72.96791667,vel_viento,m/s
24035340,0257,2024-06-24 21:00:00,0.2,AEROPUERTO A LLERAS C,BOYACÁ,SOGAMOSO,SOGAMOSO,5.676944444,-72.96791667,precipitacion,mm
24035340,0103,2024-06-24 21:00:00,1.0,AEROPUERTO A LLERAS C,BOYACÁ,SOGAMOSO,SOGAMOSO,5.676944444,-72.96791667,vel_viento,m/s
24035340,0071,2024-06-24 21:00:00,13.5,AEROPUERTO A LLERAS C,BOYACÁ,SOGAMOSO,SOGAMOSO,5.676944444,-72.96791667,temperatura,°C
24035340,0240,2024-06-24 21:00:00,0.8,AEROPUERTO A LLERAS C,BOYACÁ,SOGAMOSO,SOGAMOSO,5.676944444,-72.96791667,precipitacion,mm
24035340,0068,2024-06-24 21:00:00,13.5,AEROPUERTO A LLERAS C,BOYACÁ,SOGAMOSO,SOGAMOSO,5.676944444,-72.96791667,temperatura,°C
3502700147,0230,2024-06-24 21:00:00,0.96,GUAYABETAL RIO NEGRO 2,CUNDINAMARCA,GUAYABETAL,META,4.21602,-73.81577,nivel_inst_rio,mt
24035340,0070,2024-06-24 21:00:00,13.5,AEROPUERTO A LLERAS C,BOYACÁ,SOGAMOSO,SOGAMOSO,5.676944444,-72.96791667,temp_min_aire,°C
24035340,0258,2024-06-24 21:00:00,760.6,AEROPUERTO A LLERAS C,BOYACÁ,SOGAMOSO,SOGAMOSO,5.676944444,-72.96791667,pres_atmosferica,hPA
3502700147,0229,2024-06-24 21:00:00,0.96,GUAYABETAL RIO NEGRO 2,CUNDINAMARCA,GUAYABETAL,META,4.21602,-73.81577,nivel_inst_rio,M
24035340,0027,2024-06-24 21:00:00,99.0,AEROPUERTO A LLERAS C,BOYACÁ,SOGAMOSO,SOGAMOSO,5.676944444,-72.96791667,HUMEDAD DEL SUELO A 1 m Ó MAS,%
