nivel_max_rio,humedad_aire,vel_viento,temperatura,precipitacion,nivel_min_rio,dir_viento,temp_max_aire,nivel_inst_rio,temp_min_aire,pres_atmosferica,codigoestacion,Level Deforestation,Level Illicit Use,Level Ecocidios,Level Environment Pollution,nivel_max_riohumedad_aire,nivel_max_riovel_viento,nivel_max_riotemperatura,nivel_max_rioprecipitacion,nivel_max_rionivel_min_rio,nivel_max_riodir_viento,nivel_max_riotemp_max_aire,nivel_max_rionivel_inst_rio,nivel_max_riotemp_min_aire,nivel_max_riopres_atmosferica,humedad_airevel_viento,humedad_airetemperatura,humedad_aireprecipitacion,humedad_airenivel_min_rio,humedad_airedir_viento,humedad_airetemp_max_aire,humedad_airenivel_inst_rio,humedad_airetemp_min_aire,humedad_airepres_atmosferica,vel_vientotemperatura,vel_vientoprecipitacion,vel_vientonivel_min_rio,vel_vientodir_viento,vel_vientotemp_max_aire,vel_vientonivel_inst_rio,vel_vientotemp_min_aire,vel_vientopres_atmosferica,temperaturaprecipitacion,temperaturanivel_min_rio,temperaturadir_viento,temperaturatemp_max_aire,temperaturanivel_inst_rio,temperaturatemp_min_aire,temperaturapres_atmosferica,precipitacionnivel_min_rio,precipitaciondir_viento,precipitaciontemp_max_aire,precipitacionnivel_inst_rio,precipitaciontemp_min_aire,precipitacionpres_atmosferica,nivel_min_riodir_viento,nivel_min_riotemp_max_aire,nivel_min_rionivel_inst_rio,nivel_min_riotemp_min_aire,nivel_min_riopres_atmosferica,dir_vientotemp_max_aire,dir_vientonivel_inst_rio,dir_vientotemp_min_aire,dir_vientopres_atmosferica,temp_max_airenivel_inst_rio,temp_max_airetemp_min_aire,temp_max_airepres_atmosferica,nivel_inst_riotemp_min_aire,nivel_inst_riopres_atmosferica,temp_min_airepres_atmosferica
0,0,0,0,0,0,0,0.213,0,0.001,0,35195060,7.49,7.42,7.49,7.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.112,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,-0.174,0,-0.168,0,24035340,-0.21,-0.21,-11.97,-11.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977,0.0,0.0,0.0,0.0
-0.142,0,0,0,0,-0.13,0,0,0,0,0,2403700149,-9.94,9.52,-0.42,0.42,0.0,0.0,0.0,0.0,0.979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,-0.052,0,0.004,0,35060210,-1.68,-1.96,-1.68,-1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.953,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,-0.066,0,-0.036,0,3502500135,-1.05,-1.05,-3.57,-3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,-0.041,0,-0.052,0,21205670,0.385,0.385,-3.255,-3.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.946,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,-0.02,0,-0.078,0,35020300,2.03,2.03,-3.43,-3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.67,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,-0.083,0,-0.041,0,35235010,-1.47,-1.47,-4.34,-4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.952,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0,-0.117,0,-0.054,0,2403000117,-2.205,-2.205,-5.985,-5.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.936,0.0,0.0,0.0,0.0
-0.041,0,0,0,0,-0.037,0,0,0,0,0,2403700148,-2.87,2.73,-0.14,0.14,0.0,0.0,0.0,0.0,0.974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
